"Recto";"Verso";"Tags"
"Que faire en premier pour une citation ?";"repérer le mot important et le procédé";"bac_francais methodologie method_analyser_une_citation"
"Quelle erreur fréquente éviter avec une citation ?";"choisir une citation trop longue";"bac_francais methodologie method_analyser_une_citation"
"Mini-situation : repérer le mot important et le procédé. Que faut-il faire ?";"repérer le mot important et le procédé";"bac_francais methodologie method_analyser_une_citation"
"Phrase utile à retenir pour une citation.";"Dans '[citation]', l’auteur utilise...";"bac_francais methodologie method_analyser_une_citation"
"Que vérifier à la fin ?";"citation courte + effet + interprétation";"bac_francais methodologie method_analyser_une_citation"
"Complète la formule liée à une citation.";"Une bonne citation doit prouver quelque chose.";"bac_francais methodologie method_analyser_une_citation"
"À quoi sert le suivi de progression ?";"voir ce qui est déjà maîtrisé et ce qui reste à travailler";"bac_francais methodologie method_suivi_progression"
"Que faire en premier pour le suivi de progression ?";"noter date, exercice et difficulté";"bac_francais methodologie method_suivi_progression"
"Quelle erreur fréquente éviter avec le suivi de progression ?";"laisser les tableaux vides";"bac_francais methodologie method_suivi_progression"
"Mini-situation : noter date, exercice et difficulté. Que faut-il faire ?";"noter date, exercice et difficulté";"bac_francais methodologie method_suivi_progression"
"Phrase utile à retenir pour le suivi de progression.";"À faire / En cours / À revoir / Maîtrisé";"bac_francais methodologie method_suivi_progression"
"Que vérifier à la fin ?";"une ligne par séance";"bac_francais methodologie method_suivi_progression"
"Complète la formule liée au suivi de progression.";"Le suivi évite de réviser au hasard.";"bac_francais methodologie method_suivi_progression"
"À quoi sert la checklist globale ?";"garder une vue d’ensemble des révisions";"bac_francais methodologie method_checklist_globale"
"Que faire en premier pour la checklist globale ?";"commencer par la priorité absolue";"bac_francais methodologie method_checklist_globale"
"Quelle erreur fréquente éviter avec la checklist globale ?";"tout cocher sans vérifier";"bac_francais methodologie method_checklist_globale"
"Mini-situation : commencer par la priorité absolue. Que faut-il faire ?";"commencer par la priorité absolue";"bac_francais methodologie method_checklist_globale"
"Phrase utile à retenir pour la checklist globale.";"priorité absolue";"bac_francais methodologie method_checklist_globale"
"Que vérifier à la fin ?";"méthode, procédés, auteurs, mouvements, exercices";"bac_francais methodologie method_checklist_globale"
"Complète la formule liée à la checklist globale.";"La checklist aide à choisir les révisions utiles.";"bac_francais methodologie method_checklist_globale"
"Quelle est la période de l'humanisme ?";"XVIe siècle";"bac_francais mouvements mouvement_humanisme"
"Définition simple de l'humanisme.";"mouvement qui place l’homme, le savoir et la réflexion au centre";"bac_francais mouvements mouvement_humanisme"
"Quel contexte historique explique l'humanisme ?";"Renaissance, redécouverte de l’Antiquité, essor de l’imprimerie";"bac_francais mouvements mouvement_humanisme"
"Quels thèmes fréquents associer à l'humanisme ?";"éducation, curiosité, dignité, tolérance";"bac_francais mouvements mouvement_humanisme"
"Quels procédés fréquents y retrouver dans l'humanisme ?";"champ lexical du savoir, questions, argumentation";"bac_francais mouvements mouvement_humanisme"
"Quels auteurs associer à l'humanisme ?";"Montaigne, Rabelais";"bac_francais mouvements mouvement_humanisme"
"Que faut-il retenir pour le bac ?";"montrer la confiance dans l’esprit critique et l’apprentissage";"bac_francais mouvements mouvement_humanisme"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"Ce texte peut être rattaché à l’humanisme, qui valorise le savoir et la réflexion.";"bac_francais mouvements mouvement_humanisme"
"Exemple d’analyse rapide de l'humanisme.";"Un champ lexical du savoir montre la volonté d’apprendre.";"bac_francais mouvements mouvement_humanisme"
"Quelle erreur fréquente éviter avec l'humanisme ?";"le réduire à un texte seulement ancien";"bac_francais mouvements mouvement_humanisme"
"Quelle est la période de le classicisme ?";"XVIIe siècle";"bac_francais mouvements mouvement_classicisme"
"Définition simple du classicisme.";"mouvement qui recherche l’ordre, la clarté et la mesure";"bac_francais mouvements mouvement_classicisme"
"Quel contexte historique explique le classicisme ?";"monarchie forte, règles littéraires, importance de la vraisemblance";"bac_francais mouvements mouvement_classicisme"
"Quels thèmes fréquents associer au classicisme ?";"raison, devoir, passion, bienséance, ordre social";"bac_francais mouvements mouvement_classicisme"
"Quels procédés fréquents y retrouver dans le classicisme ?";"antithèse, litote, question rhétorique";"bac_francais mouvements mouvement_classicisme"
"Quels auteurs associer à le classicisme ?";"Molière, Racine, Corneille, La Fontaine";"bac_francais mouvements mouvement_classicisme"
"Que faut-il retenir pour le bac ?";"repérer la maîtrise, la clarté et le contrôle des passions";"bac_francais mouvements mouvement_classicisme"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"Ce texte relève du classicisme, qui recherche l’ordre, la clarté et la vraisemblance.";"bac_francais mouvements mouvement_classicisme"
"Exemple d’analyse rapide du classicisme.";"Une antithèse met en valeur le conflit entre passion et raison.";"bac_francais mouvements mouvement_classicisme"
"Quelle erreur fréquente éviter avec le classicisme ?";"le réduire à des règles figées";"bac_francais mouvements mouvement_classicisme"
"Quelle est la période de les Lumières ?";"XVIIIe siècle";"bac_francais mouvements mouvement_lumieres"
"Définition simple des Lumières.";"mouvement qui défend la raison et critique les injustices";"bac_francais mouvements mouvement_lumieres"
"Quel contexte historique explique les Lumières ?";"salons, Encyclopédie, débats intellectuels, critique de l’autorité";"bac_francais mouvements mouvement_lumieres"
"Quels thèmes fréquents associer aux Lumières ?";"liberté, tolérance, progrès, justice, critique";"bac_francais mouvements mouvement_lumieres"
"Quels procédés fréquents y retrouver dans les Lumières ?";"ironie, questions, argumentation, exemples";"bac_francais mouvements mouvement_lumieres"
"Quels auteurs associer à les Lumières ?";"Voltaire, Rousseau, Diderot, Montesquieu";"bac_francais mouvements mouvement_lumieres"
"Que faut-il retenir pour le bac ?";"montrer la critique d’un abus et la volonté d’éclairer le lecteur";"bac_francais mouvements mouvement_lumieres"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"Le texte s’inscrit dans les Lumières, qui défendent la raison, la liberté et la critique.";"bac_francais mouvements mouvement_lumieres"
"Exemple d’analyse rapide des Lumières.";"L’ironie dénonce une injustice sans la nommer directement.";"bac_francais mouvements mouvement_lumieres"
"Quelle erreur fréquente éviter avec les Lumières ?";"le limiter à une simple époque";"bac_francais mouvements mouvement_lumieres"
"Quelle est la période de le romantisme ?";"première moitié du XIXe siècle";"bac_francais mouvements mouvement_romantisme"
"Définition simple du romantisme.";"mouvement qui valorise les sentiments, la nature et l’expression du moi";"bac_francais mouvements mouvement_romantisme"
"Quel contexte historique explique le romantisme ?";"après la Révolution et l’Empire, climat d’instabilité et affirmation de l’individu";"bac_francais mouvements mouvement_romantisme"
"Quels thèmes fréquents associer au romantisme ?";"sentiments, mélancolie, solitude, nature, liberté";"bac_francais mouvements mouvement_romantisme"
"Quels procédés fréquents y retrouver dans le romantisme ?";"champ lexical des émotions, hyperbole, personnification, métaphore";"bac_francais mouvements mouvement_romantisme"
"Quels auteurs associer à le romantisme ?";"Victor Hugo, Lamartine, Musset, Chateaubriand";"bac_francais mouvements mouvement_romantisme"
"Que faut-il retenir pour le bac ?";"montrer le lien entre le paysage, l’émotion et l’intériorité";"bac_francais mouvements mouvement_romantisme"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"Ce texte peut être rapproché du romantisme, qui valorise l’expression des sentiments et la nature.";"bac_francais mouvements mouvement_romantisme"
"Exemple d’analyse rapide du romantisme.";"Le champ lexical de la tristesse traduit le mal-être du locuteur.";"bac_francais mouvements mouvement_romantisme"
"Quelle erreur fréquente éviter avec le romantisme ?";"le réduire à l’amour triste";"bac_francais mouvements mouvement_romantisme"
"Quelle est la période de le réalisme ?";"milieu du XIXe siècle";"bac_francais mouvements mouvement_realisme"
"Définition simple du réalisme.";"mouvement qui cherche à représenter la réalité sociale avec précision";"bac_francais mouvements mouvement_realisme"
"Quel contexte historique explique le réalisme ?";"développement industriel, transformations sociales, observation du quotidien";"bac_francais mouvements mouvement_realisme"
"Quels thèmes fréquents associer au réalisme ?";"vie quotidienne, milieux sociaux, travail, argent, détails concrets";"bac_francais mouvements mouvement_realisme"
"Quels procédés fréquents y retrouver dans le réalisme ?";"accumulation, détails, champ lexical précis, description";"bac_francais mouvements mouvement_realisme"
"Quels auteurs associer à le réalisme ?";"Balzac, Flaubert, Maupassant";"bac_francais mouvements mouvement_realisme"
"Que faut-il retenir pour le bac ?";"montrer la précision des détails et la lecture sociale du texte";"bac_francais mouvements mouvement_realisme"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"Le réalisme cherche à représenter la réalité sociale avec précision.";"bac_francais mouvements mouvement_realisme"
"Exemple d’analyse rapide du réalisme.";"L’accumulation de détails rend la scène crédible.";"bac_francais mouvements mouvement_realisme"
"Quelle erreur fréquente éviter avec le réalisme ?";"le confondre avec un simple texte vrai";"bac_francais mouvements mouvement_realisme"
"Quelle est la période de le naturalisme ?";"seconde moitié du XIXe siècle";"bac_francais mouvements mouvement_naturalisme"
"Définition simple du naturalisme.";"prolongement du réalisme qui s’appuie sur l’observation quasi scientifique";"bac_francais mouvements mouvement_naturalisme"
"Quel contexte historique explique le naturalisme ?";"essor des sciences, intérêt pour l’hérédité et le milieu";"bac_francais mouvements mouvement_naturalisme"
"Quels thèmes fréquents associer au naturalisme ?";"déterminisme, travail, misère, milieu social, corps";"bac_francais mouvements mouvement_naturalisme"
"Quels procédés fréquents y retrouver dans le naturalisme ?";"accumulation, détails concrets, vocabulaire de l’observation";"bac_francais mouvements mouvement_naturalisme"
"Quels auteurs associer à le naturalisme ?";"Zola";"bac_francais mouvements mouvement_naturalisme"
"Que faut-il retenir pour le bac ?";"montrer comment le texte observe l’homme comme un objet d’étude";"bac_francais mouvements mouvement_naturalisme"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"Le naturalisme prolonge le réalisme en s’appuyant sur l’observation quasi scientifique.";"bac_francais mouvements mouvement_naturalisme"
"Exemple d’analyse rapide du naturalisme.";"Les détails concrets donnent une impression d’étude sociale.";"bac_francais mouvements mouvement_naturalisme"
"Quelle erreur fréquente éviter avec le naturalisme ?";"le réduire à la misère seule";"bac_francais mouvements mouvement_naturalisme"
"Quelle est la période de le symbolisme ?";"fin du XIXe siècle";"bac_francais mouvements mouvement_symbolisme"
"Définition simple du symbolisme.";"mouvement qui cherche à suggérer plutôt qu’à dire clairement";"bac_francais mouvements mouvement_symbolisme"
"Quel contexte historique explique le symbolisme ?";"réaction contre le réalisme, recherche de l’ombre et du mystère";"bac_francais mouvements mouvement_symbolisme"
"Quels thèmes fréquents associer au symbolisme ?";"rêve, mystère, intériorité, correspondances, musique du vers";"bac_francais mouvements mouvement_symbolisme"
"Quels procédés fréquents y retrouver dans le symbolisme ?";"métaphore, symboles, assonance, allitération";"bac_francais mouvements mouvement_symbolisme"
"Quels auteurs associer à le symbolisme ?";"Baudelaire, Verlaine, Mallarmé, Rimbaud";"bac_francais mouvements mouvement_symbolisme"
"Que faut-il retenir pour le bac ?";"montrer la force de la suggestion et de la musicalité";"bac_francais mouvements mouvement_symbolisme"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"Le symbolisme cherche moins à nommer qu’à suggérer.";"bac_francais mouvements mouvement_symbolisme"
"Exemple d’analyse rapide du symbolisme.";"L’image fait sentir un sens caché.";"bac_francais mouvements mouvement_symbolisme"
"Quelle erreur fréquente éviter avec le symbolisme ?";"vouloir tout expliquer littéralement";"bac_francais mouvements mouvement_symbolisme"
"Quelle est la période de le surréalisme ?";"XXe siècle";"bac_francais mouvements mouvement_surrealisme"
"Définition simple du surréalisme.";"mouvement qui libère l’imagination et explore le rêve et l’inconscient";"bac_francais mouvements mouvement_surrealisme"
"Quel contexte historique explique le surréalisme ?";"après la Première Guerre mondiale, volonté de rupture avec la logique";"bac_francais mouvements mouvement_surrealisme"
"Quels thèmes fréquents associer au surréalisme ?";"rêve, amour, liberté, inconscient, hasard";"bac_francais mouvements mouvement_surrealisme"
"Quels procédés fréquents y retrouver dans le surréalisme ?";"images inattendues, associations libres, écriture automatique";"bac_francais mouvements mouvement_surrealisme"
"Quels auteurs associer à le surréalisme ?";"André Breton, Éluard, Aragon, Apollinaire";"bac_francais mouvements mouvement_surrealisme"
"Que faut-il retenir pour le bac ?";"montrer la rupture avec le logique et la place de l’image";"bac_francais mouvements mouvement_surrealisme"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"Le surréalisme libère l’imagination et explore le rêve.";"bac_francais mouvements mouvement_surrealisme"
"Exemple d’analyse rapide du surréalisme.";"L’association d’images inattendues crée un effet de surprise.";"bac_francais mouvements mouvement_surrealisme"
"Quelle erreur fréquente éviter avec le surréalisme ?";"le lire comme un texte logique ordinaire";"bac_francais mouvements mouvement_surrealisme"
"Quelle est la période de l'existentialisme ?";"XXe siècle";"bac_francais mouvements mouvement_existentialisme"
"Définition simple de l'existentialisme.";"mouvement qui interroge la liberté, la responsabilité et la condition humaine";"bac_francais mouvements mouvement_existentialisme"
"Quel contexte historique explique l'existentialisme ?";"seconde guerre mondiale, réflexion sur la liberté et le choix";"bac_francais mouvements mouvement_existentialisme"
"Quels thèmes fréquents associer à l'existentialisme ?";"liberté, responsabilité, angoisse, choix, absurdité";"bac_francais mouvements mouvement_existentialisme"
"Quels procédés fréquents y retrouver dans l'existentialisme ?";"questions, antithèses, lexique du doute, dialogue";"bac_francais mouvements mouvement_existentialisme"
"Quels auteurs associer à l'existentialisme ?";"Camus, Sartre, Beauvoir";"bac_francais mouvements mouvement_existentialisme"
"Que faut-il retenir pour le bac ?";"montrer la réflexion sur le choix et la responsabilité";"bac_francais mouvements mouvement_existentialisme"
"Quelle phrase peut servir à présenter ce mouvement dans une introduction ?";"L’existentialisme interroge la liberté et la responsabilité de l’homme.";"bac_francais mouvements mouvement_existentialisme"
"Exemple d’analyse rapide de l'existentialisme.";"Une question rhétorique traduit le doute du personnage.";"bac_francais mouvements mouvement_existentialisme"
"Quelle erreur fréquente éviter avec l'existentialisme ?";"le réduire à une pensée uniquement pessimiste";"bac_francais mouvements mouvement_existentialisme"
"Quel siècle pour Victor Hugo ?";"XIXe siècle";"bac_francais auteurs auteur_victor_hugo"
"Quel mouvement principal associer à Victor Hugo ?";"romantisme";"bac_francais auteurs auteur_victor_hugo"
"Quels genres Victor Hugo pratique-t-il ?";"poésie, théâtre, roman, discours";"bac_francais auteurs auteur_victor_hugo"
"Quels thèmes reviennent souvent chez Victor Hugo ?";"liberté, justice, misère, peuple, nature";"bac_francais auteurs auteur_victor_hugo"
"Comment décrire son style ?";"ample, expressif, imagé et engagé";"bac_francais auteurs auteur_victor_hugo"
"Quels procédés fréquents utiliser chez Victor Hugo ?";"hyperbole, antithèse, métaphore, champ lexical";"bac_francais auteurs auteur_victor_hugo"
"Quelles œuvres de Victor Hugo sont utiles à connaître ?";"Les Contemplations, Les Misérables, Hernani, Ruy Blas";"bac_francais auteurs auteur_victor_hugo"
"Quelle phrase courte et réutilisable peut présenter Victor Hugo ?";"Victor Hugo est un écrivain romantique du XIXe siècle engagé pour la liberté et la justice.";"bac_francais auteurs auteur_victor_hugo"
"Quelle phrase réutilisable dans une introduction peut servir pour Victor Hugo ?";"Écrivain majeur du romantisme, Victor Hugo utilise souvent les contrastes et les images pour défendre une vision engagée de l’homme.";"bac_francais auteurs auteur_victor_hugo"
"Quel lien faire avec un commentaire ?";"Une antithèse chez Hugo peut opposer la misère et l’espérance.";"bac_francais auteurs auteur_victor_hugo"
"Quel siècle pour Baudelaire ?";"XIXe siècle";"bac_francais auteurs auteur_baudelaire"
"Quel mouvement principal associer à Baudelaire ?";"symbolisme";"bac_francais auteurs auteur_baudelaire"
"Quels genres Baudelaire pratique-t-il ?";"poésie";"bac_francais auteurs auteur_baudelaire"
"Quels thèmes reviennent souvent chez Baudelaire ?";"beauté, spleen, modernité, ville, idéalisme";"bac_francais auteurs auteur_baudelaire"
"Comment décrire son style ?";"dense, musical, imagé et souvent contrasté";"bac_francais auteurs auteur_baudelaire"
"Quels procédés fréquents utiliser chez Baudelaire ?";"métaphore, symboles, oxymore, champ lexical";"bac_francais auteurs auteur_baudelaire"
"Quelles œuvres de Baudelaire sont utiles à connaître ?";"Les Fleurs du mal, Le Spleen de Paris";"bac_francais auteurs auteur_baudelaire"
"Quelle phrase courte et réutilisable peut présenter Baudelaire ?";"Baudelaire est un poète du XIXe siècle qui transforme le spleen et la beauté en matière poétique.";"bac_francais auteurs auteur_baudelaire"
"Quelle phrase réutilisable dans une introduction peut servir pour Baudelaire ?";"Chez Baudelaire, la poésie transforme l’expérience intérieure en images frappantes.";"bac_francais auteurs auteur_baudelaire"
"Quel lien faire avec un commentaire ?";"Un champ lexical du spleen chez Baudelaire traduit un malaise intérieur profond.";"bac_francais auteurs auteur_baudelaire"
"Quel siècle pour Rimbaud ?";"XIXe siècle";"bac_francais auteurs auteur_rimbaud"
"Quel mouvement principal associer à Rimbaud ?";"symbolisme";"bac_francais auteurs auteur_rimbaud"
"Quels genres Rimbaud pratique-t-il ?";"poésie";"bac_francais auteurs auteur_rimbaud"
"Quels thèmes reviennent souvent chez Rimbaud ?";"révolte, liberté, vision, voyage, jeunesse";"bac_francais auteurs auteur_rimbaud"
"Comment décrire son style ?";"inventif, fulgurant, étrange et moderne";"bac_francais auteurs auteur_rimbaud"
"Quels procédés fréquents utiliser chez Rimbaud ?";"métaphore, images inattendues, assonance, allitération";"bac_francais auteurs auteur_rimbaud"
"Quelles œuvres de Rimbaud sont utiles à connaître ?";"Le Bateau ivre, Une saison en enfer, Illuminations";"bac_francais auteurs auteur_rimbaud"
"Quelle phrase courte et réutilisable peut présenter Rimbaud ?";"Rimbaud est un poète du XIXe siècle qui renouvelle la poésie par des images fortes et une liberté totale.";"bac_francais auteurs auteur_rimbaud"
"Quelle phrase réutilisable dans une introduction peut servir pour Rimbaud ?";"Rimbaud transforme la poésie en exploration de la vision et de la liberté.";"bac_francais auteurs auteur_rimbaud"
"Quel lien faire avec un commentaire ?";"Une image inattendue chez Rimbaud peut ouvrir un sens symbolique.";"bac_francais auteurs auteur_rimbaud"
"Quel siècle pour Zola ?";"XIXe siècle";"bac_francais auteurs auteur_zola"
"Quel mouvement principal associer à Zola ?";"naturalisme";"bac_francais auteurs auteur_zola"
"Quels genres Zola pratique-t-il ?";"roman, article, texte engagé";"bac_francais auteurs auteur_zola"
"Quels thèmes reviennent souvent chez Zola ?";"milieu social, déterminisme, travail, misère, foule";"bac_francais auteurs auteur_zola"
"Comment décrire son style ?";"précis, descriptif, souvent très concret";"bac_francais auteurs auteur_zola"
"Quels procédés fréquents utiliser chez Zola ?";"accumulation, détails, champ lexical, comparaison";"bac_francais auteurs auteur_zola"
"Quelles œuvres de Zola sont utiles à connaître ?";"Germinal, Thérèse Raquin, Nana";"bac_francais auteurs auteur_zola"
"Quelle phrase courte et réutilisable peut présenter Zola ?";"Zola est un romancier naturaliste qui observe la société avec précision.";"bac_francais auteurs auteur_zola"
"Quelle phrase réutilisable dans une introduction peut servir pour Zola ?";"Zola représente les milieux sociaux avec précision pour montrer les effets du milieu sur l’homme.";"bac_francais auteurs auteur_zola"
"Quel lien faire avec un commentaire ?";"Une accumulation de détails chez Zola rend la scène plus crédible et plus sociale.";"bac_francais auteurs auteur_zola"
"Quel siècle pour Flaubert ?";"XIXe siècle";"bac_francais auteurs auteur_flaubert"
"Quel mouvement principal associer à Flaubert ?";"réalisme";"bac_francais auteurs auteur_flaubert"
"Quels genres Flaubert pratique-t-il ?";"roman";"bac_francais auteurs auteur_flaubert"
"Quels thèmes reviennent souvent chez Flaubert ?";"quotidien, ennui, société, illusion, désillusion";"bac_francais auteurs auteur_flaubert"
"Comment décrire son style ?";"précis, travaillé, souvent ironique et sobre";"bac_francais auteurs auteur_flaubert"
"Quels procédés fréquents utiliser chez Flaubert ?";"détails, ironie, accumulation, point de vue descriptif";"bac_francais auteurs auteur_flaubert"
"Quelles œuvres de Flaubert sont utiles à connaître ?";"Madame Bovary, L’Éducation sentimentale";"bac_francais auteurs auteur_flaubert"
"Quelle phrase courte et réutilisable peut présenter Flaubert ?";"Flaubert est un romancier réaliste qui observe les illusions et les désillusions du quotidien.";"bac_francais auteurs auteur_flaubert"
"Quelle phrase réutilisable dans une introduction peut servir pour Flaubert ?";"Flaubert met en scène la réalité sociale avec précision et parfois avec ironie.";"bac_francais auteurs auteur_flaubert"
"Quel lien faire avec un commentaire ?";"Une ironie flaubertienne peut faire apparaître le décalage entre rêve et réalité.";"bac_francais auteurs auteur_flaubert"
"Quel siècle pour Balzac ?";"XIXe siècle";"bac_francais auteurs auteur_balzac"
"Quel mouvement principal associer à Balzac ?";"réalisme";"bac_francais auteurs auteur_balzac"
"Quels genres Balzac pratique-t-il ?";"roman";"bac_francais auteurs auteur_balzac"
"Quels thèmes reviennent souvent chez Balzac ?";"société, ambition, argent, classes sociales, pouvoir";"bac_francais auteurs auteur_balzac"
"Comment décrire son style ?";"abondant, précis, observateur";"bac_francais auteurs auteur_balzac"
"Quels procédés fréquents utiliser chez Balzac ?";"accumulation, description détaillée, champ lexical social";"bac_francais auteurs auteur_balzac"
"Quelles œuvres de Balzac sont utiles à connaître ?";"Le Père Goriot, Eugénie Grandet, La Comédie humaine";"bac_francais auteurs auteur_balzac"
"Quelle phrase courte et réutilisable peut présenter Balzac ?";"Balzac est un romancier réaliste qui peint la société dans ses détails et ses rapports de force.";"bac_francais auteurs auteur_balzac"
"Quelle phrase réutilisable dans une introduction peut servir pour Balzac ?";"Balzac observe la société de son temps à travers des descriptions précises et un regard social.";"bac_francais auteurs auteur_balzac"
"Quel lien faire avec un commentaire ?";"Une description balzacienne peut montrer les rapports de force entre les personnages.";"bac_francais auteurs auteur_balzac"
"Quel siècle pour Molière ?";"XVIIe siècle";"bac_francais auteurs auteur_moliere"
"Quel mouvement principal associer à Molière ?";"classicisme";"bac_francais auteurs auteur_moliere"
"Quels genres Molière pratique-t-il ?";"théâtre, comédie";"bac_francais auteurs auteur_moliere"
"Quels thèmes reviennent souvent chez Molière ?";"hypocrisie, avarice, comique, société, morale";"bac_francais auteurs auteur_moliere"
"Comment décrire son style ?";"vivant, efficace, comique et critique";"bac_francais auteurs auteur_moliere"
"Quels procédés fréquents utiliser chez Molière ?";"ironie, satire, répétition, comique de mots et de situation";"bac_francais auteurs auteur_moliere"
"Quelles œuvres de Molière sont utiles à connaître ?";"Tartuffe, Le Misanthrope, L’Avare, Le Malade imaginaire";"bac_francais auteurs auteur_moliere"
"Quelle phrase courte et réutilisable peut présenter Molière ?";"Molière est un dramaturge classique qui fait rire tout en critiquant les travers humains.";"bac_francais auteurs auteur_moliere"
"Quelle phrase réutilisable dans une introduction peut servir pour Molière ?";"Molière utilise le théâtre pour divertir et dénoncer les défauts de son époque.";"bac_francais auteurs auteur_moliere"
"Quel lien faire avec un commentaire ?";"Une scène comique chez Molière peut aussi devenir une critique de l’hypocrisie.";"bac_francais auteurs auteur_moliere"
"Quel siècle pour Racine ?";"XVIIe siècle";"bac_francais auteurs auteur_racine"
"Quel mouvement principal associer à Racine ?";"classicisme";"bac_francais auteurs auteur_racine"
"Quels genres Racine pratique-t-il ?";"théâtre tragique";"bac_francais auteurs auteur_racine"
"Quels thèmes reviennent souvent chez Racine ?";"passion, fatalité, conflit intérieur, devoir, amour";"bac_francais auteurs auteur_racine"
"Comment décrire son style ?";"sobre, tendu, très maîtrisé";"bac_francais auteurs auteur_racine"
"Quels procédés fréquents utiliser chez Racine ?";"antithèse, litote, question rhétorique, champ lexical de la passion";"bac_francais auteurs auteur_racine"
"Quelles œuvres de Racine sont utiles à connaître ?";"Phèdre, Andromaque, Britannicus";"bac_francais auteurs auteur_racine"
"Quelle phrase courte et réutilisable peut présenter Racine ?";"Racine est un tragédien classique qui met en scène la force destructrice des passions.";"bac_francais auteurs auteur_racine"
"Quelle phrase réutilisable dans une introduction peut servir pour Racine ?";"Racine montre des personnages déchirés entre la passion et la raison.";"bac_francais auteurs auteur_racine"
"Quel lien faire avec un commentaire ?";"Une antithèse racinienne peut faire sentir le conflit intérieur d’un héros.";"bac_francais auteurs auteur_racine"
"Quel siècle pour Corneille ?";"XVIIe siècle";"bac_francais auteurs auteur_corneille"
"Quel mouvement principal associer à Corneille ?";"classicisme";"bac_francais auteurs auteur_corneille"
"Quels genres Corneille pratique-t-il ?";"théâtre tragique, tragi-comédie";"bac_francais auteurs auteur_corneille"
"Quels thèmes reviennent souvent chez Corneille ?";"honneur, devoir, choix, grandeur, héroïsme";"bac_francais auteurs auteur_corneille"
"Comment décrire son style ?";"énergique, oratoire, fondé sur la décision";"bac_francais auteurs auteur_corneille"
"Quels procédés fréquents utiliser chez Corneille ?";"antithèse, question rhétorique, hyperbole, discours";"bac_francais auteurs auteur_corneille"
"Quelles œuvres de Corneille sont utiles à connaître ?";"Le Cid, Horace, Cinna";"bac_francais auteurs auteur_corneille"
"Quelle phrase courte et réutilisable peut présenter Corneille ?";"Corneille est un dramaturge classique qui met en scène des héros confrontés à des choix difficiles.";"bac_francais auteurs auteur_corneille"
"Quelle phrase réutilisable dans une introduction peut servir pour Corneille ?";"Corneille donne à ses personnages une grandeur fondée sur le devoir et le choix.";"bac_francais auteurs auteur_corneille"
"Quel lien faire avec un commentaire ?";"Une question rhétorique chez Corneille peut souligner un dilemme moral.";"bac_francais auteurs auteur_corneille"
"Quel siècle pour La Fontaine ?";"XVIIe siècle";"bac_francais auteurs auteur_la_fontaine"
"Quel mouvement principal associer à La Fontaine ?";"classicisme";"bac_francais auteurs auteur_la_fontaine"
"Quels genres La Fontaine pratique-t-il ?";"fable, poésie";"bac_francais auteurs auteur_la_fontaine"
"Quels thèmes reviennent souvent chez La Fontaine ?";"sagesse, morale, société, rapport de force, animaux";"bac_francais auteurs auteur_la_fontaine"
"Comment décrire son style ?";"clair, vif, souvent ironique";"bac_francais auteurs auteur_la_fontaine"
"Quels procédés fréquents utiliser chez La Fontaine ?";"ironie, moralité, opposition, personnification";"bac_francais auteurs auteur_la_fontaine"
"Quelles œuvres de La Fontaine sont utiles à connaître ?";"Fables";"bac_francais auteurs auteur_la_fontaine"
"Quelle phrase courte et réutilisable peut présenter La Fontaine ?";"La Fontaine est un auteur classique qui utilise la fable pour instruire et critiquer.";"bac_francais auteurs auteur_la_fontaine"
"Quelle phrase réutilisable dans une introduction peut servir pour La Fontaine ?";"La Fontaine transforme les animaux en personnages pour faire passer une leçon morale.";"bac_francais auteurs auteur_la_fontaine"
"Quel lien faire avec un commentaire ?";"Une personnification chez La Fontaine rend la fable plus vivante et plus parlante.";"bac_francais auteurs auteur_la_fontaine"
"Quel siècle pour Voltaire ?";"XVIIIe siècle";"bac_francais auteurs auteur_voltaire"
"Quel mouvement principal associer à Voltaire ?";"Lumières";"bac_francais auteurs auteur_voltaire"
"Quels genres Voltaire pratique-t-il ?";"conte philosophique, essai, article, théâtre";"bac_francais auteurs auteur_voltaire"
"Quels thèmes reviennent souvent chez Voltaire ?";"tolérance, liberté, justice, critique, raison";"bac_francais auteurs auteur_voltaire"
"Comment décrire son style ?";"clair, vif, ironique";"bac_francais auteurs auteur_voltaire"
"Quels procédés fréquents utiliser chez Voltaire ?";"ironie, question rhétorique, antithèse, argumentation";"bac_francais auteurs auteur_voltaire"
"Quelles œuvres de Voltaire sont utiles à connaître ?";"Candide, Lettres philosophiques, Traité sur la tolérance";"bac_francais auteurs auteur_voltaire"
"Quelle phrase courte et réutilisable peut présenter Voltaire ?";"Voltaire est un écrivain des Lumières qui critique les injustices avec ironie et clarté.";"bac_francais auteurs auteur_voltaire"
"Quelle phrase réutilisable dans une introduction peut servir pour Voltaire ?";"Voltaire utilise l’ironie et la clarté pour défendre la tolérance et la raison.";"bac_francais auteurs auteur_voltaire"
